iter	Passed	Remaining
149	1424	8072
150	1431	8047
151	1439	8029
152	1446	8010
153	1454	7991
154	1462	7970
155	1469	7951
156	1478	7938
157	1489	7938
158	1497	7920
159	1505	7905
160	1513	7885
161	1522	7876
162	1529	7853
163	1537	7839
164	1545	7820
165	1554	7807
166	1562	7791
167	1571	7782
168	1579	7765
169	1587	7751
170	1596	7737
171	1604	7724
172	1613	7712
173	1621	7698
174	1628	7678
175	1636	7660
176	1643	7643
177	1651	7628
178	1659	7613
179	1668	7602
180	1675	7583
181	1684	7569
182	1691	7552
183	1699	7537
184	1706	7518
185	1715	7505
186	1722	7490
187	1729	7470
188	1737	7456
189	1747	7449
190	1756	7440
191	1765	7429
192	1773	7416
193	1782	7404
194	1790	7390
195	1798	7378
196	1805	7359
197	1813	7345
198	1820	7328
199	1828	7314
200	1835	7296
201	1842	7279
202	1849	7263
203	1857	7246
204	1864	7230
205	1872	7215
206	1879	7200
207	1886	7184
208	1893	7167
209	1901	7153
210	1907	7132
211	1915	7119
212	1921	7100
213	1929	7088
214	1936	7070
215	1943	7054
216	1950	7038
217	1956	7018
218	1965	7007
219	1971	6989
220	1979	6979
221	1987	6963
222	1994	6950
223	2002	6937
224	2012	6930
225	2019	6917
226	2027	6904
227	2034	6889
228	2043	6879
229	2050	6863
230	2059	6854
231	2067	6842
232	2075	6831
233	2082	6817
234	2090	6805
235	2097	6790
236	2103	6772
237	2111	6760
238	2117	6743
239	2125	6731
240	2132	6716
241	2139	6702
242	2147	6689
243	2153	6673
244	2161	6661
245	2167	6644
246	2175	6632
247	2182	6618
248	2191	6610
249	2198	6596
250	2206	6585
251	2213	6570
252	2221	6558
253	2228	6545
254	2235	6529
255	2242	6518
256	2249	6502
257	2257	6493
258	2264	6477
259	2274	6473
260	2282	6461
261	2289	6449
262	2296	6434
263	2303	6421
264	2310	6407
265	2317	6394
266	2324	6381
267	2331	6367
268	2338	6355
269	2345	6342
270	2353	6330
271	2360	6318
272	2367	6305
273	2375	6293
274	2381	6278
275	2389	6267
276	2395	6253
277	2404	6245
278	2411	6232
279	2420	6224
280	2427	6210
281	2435	6200
282	2442	6188
283	2450	6179
284	2458	6167
285	2467	6159
286	2474	6147
287	2482	6137
288	2489	6124
289	2496	6112
290	2504	6101
291	2549	6181
292	2565	6190
293	2576	6186
294	2585	6179
295	2592	6165
296	2600	6154
297	2606	6141
298	2614	6129
299	2621	6116
300	2628	6104
301	2636	6093
302	2641	6077
303	2650	6067
304	2656	6052
305	2664	6042
306	2671	6029
307	2679	6020
308	2686	6006
309	2692	5994
310	2700	5983
311	2707	5970
312	2715	5960
313	2722	5948
314	2729	5936
315	2737	5926
316	2745	5915
317	2752	5902
318	2758	5888
319	2766	5878
320	2772	5864
321	2780	5855
322	2787	5841
323	2795	5833
324	2802	5821
325	2810	5810
326	2817	5799
327	2825	5789
328	2832	5777
329	2841	5769
330	2849	5759
331	2856	5747
332	2864	5736
333	2871	5725
334	2879	5715
335	2885	5701
336	2893	5691
337	2899	5678
338	2906	5667
339	2914	5656
340	2921	5645
341	2928	5634
342	2935	5622
343	2943	5612
344	2950	5601
345	2957	5590
346	2964	5578
347	2970	5566
348	2978	5556
349	2985	5543
350	2993	5534
351	3000	5523
352	3008	5514
353	3015	5501
354	3023	5493
355	3030	5481
356	3036	5468
357	3043	5458
358	3050	5445
359	3058	5436
360	3064	5424
361	3072	5414
362	3078	5402
363	3086	5392
364	3093	5381
365	3100	5370
366	3108	5361
367	3114	5349
368	3122	5339
369	3130	5329
370	3137	5319
371	3145	5309
372	3152	5299
373	3159	5289
374	3166	5276
375	3173	5266
376	3179	5254
377	3187	5244
378	3194	5234
379	3201	5223
380	3208	5213
381	3214	5200
382	3222	5191
383	3229	5179
384	3236	5170
385	3242	5158
386	3249	5147
387	3256	5137
388	3262	5124
389	3270	5115
390	3276	5103
391	3284	5094
392	3292	5084
393	3299	5075
394	3305	5063
395	3311	5051
396	3319	5041
397	3325	5030
398	3332	5019
399	3338	5008
400	3345	4996
401	3352	4987
402	3360	4978
403	3368	4969
404	3375	4959
405	3383	4949
406	3391	4940
407	3398	4931
408	3405	4921
409	3412	4911
410	3420	4902
411	3427	4891
412	3435	4882
413	3441	4871
414	3449	4862
415	3457	4853
416	3465	4845
417	3472	4835
418	3482	4828
419	3489	4818
420	3497	4810
421	3506	4802
422	3514	4794
423	3522	4785
424	3531	4778
425	3538	4767
426	3547	4760
427	3554	4751
428	3563	4742
429	3570	4732
430	3579	4725
431	3586	4715
432	3595	4707
433	3603	4699
434	3611	4691
435	3619	4682
436	3627	4673
437	3635	4664
438	3642	4655
439	3651	4647
440	3658	4637
441	3667	4629
442	3675	4621
443	3682	4611
444	3692	4605
445	3701	4597
446	3710	4590
447	3720	4584
448	3729	4576
449	3736	4567
450	3747	4561
451	3754	4551
452	3763	4544
453	3773	4538
454	3781	4529
455	3790	4522
456	3797	4512
457	3805	4503
458	3813	4495
459	3821	4486
460	3829	4477
461	3837	4469
462	3845	4459
463	3854	4452
464	3861	4443
465	3868	4432
466	3876	4423
467	3884	4415
468	3892	4407
469	3901	4399
470	3909	4391
471	3918	4382
472	3926	4374
473	3933	4365
474	3943	4358
475	3951	4349
476	3959	4341
477	3966	4331
478	3976	4325
479	3985	4317
480	3993	4308
481	4000	4298
482	4009	4291
483	4017	4283
484	4025	4274
485	4033	4266
486	4041	4257
487	4048	4247
488	4056	4239
489	4064	4230
490	4072	4221
491	4079	4212
492	4087	4204
493	4094	4194
494	4102	4185
495	4110	4177
496	4118	4168
497	4125	4158
498	4132	4148
499	4139	4139
500	4146	4129
501	4153	4120
502	4161	4111
503	4168	4102
504	4176	4093
505	4183	4084
506	4191	4075
507	4198	4066
508	4205	4057
509	4212	4047
510	4219	4038
511	4226	4028
512	4234	4019
513	4240	4009
514	4247	3999
515	4254	3991
516	4261	3981
517	4268	3972
518	4275	3962
519	4282	3953
520	4289	3943
521	4296	3934
522	4303	3924
523	4309	3914
524	4316	3905
525	4322	3895
526	4329	3886
527	4336	3876
528	4343	3866
529	4349	3857
530	4355	3846
531	4363	3838
532	4369	3828
533	4377	3820
534	4383	3809
535	4389	3800
536	4396	3790
537	4402	3780
538	4408	3770
539	4414	3760
540	4421	3751
541	4428	3741
542	4435	3733
543	4442	3724
544	4449	3715
545	4457	3706
546	4463	3696
547	4470	3687
548	4477	3677
549	4484	3669
550	4491	3659
551	4498	3651
552	4505	3641
553	4517	3637
554	4530	3632
555	4543	3628
556	4553	3621
557	4564	3615
558	4576	3610
559	4584	3602
560	4595	3596
561	4606	3590
562	4615	3582
563	4624	3574
564	4631	3565
565	4639	3557
566	4645	3547
567	4654	3540
568	4662	3531
569	4669	3522
570	4676	3513
571	4683	3504
572	4691	3495
573	4698	3487
574	4706	3478
575	4714	3470
576	4720	3460
577	4728	3452
578	4736	3443
579	4744	3435
580	4752	3427
581	4761	3419
582	4768	3410
583	4777	3403
584	4785	3395
585	4793	3386
586	4801	3378
587	4809	3369
588	4816	3361
589	4825	3353
590	4833	3345
591	4841	3336
592	4851	3329
593	4859	3321
594	4869	3314
595	4876	3305
596	4885	3297
597	4893	3289
598	4901	3281
599	4909	3273
600	4917	3264
601	4926	3257
602	4934	3249
603	4943	3241
604	4952	3233
605	4960	3225
606	4969	3217
607	4977	3208
608	4987	3202
609	4996	3194
610	5006	3187
611	5013	3178
612	5022	3170
613	5030	3162
614	5039	3154
615	5047	3146
616	5056	3138
617	5066	3131
618	5075	3124
619	5087	3118
620	5099	3112
621	5108	3104
622	5118	3097
623	5128	3090
624	5139	3083
625	5150	3077
626	5162	3070
627	5175	3065
628	5191	3061
629	5203	3056
630	5216	3050
631	5228	3044
632	5239	3037
633	5252	3032
634	5265	3026
635	5284	3024
636	5298	3019
637	5312	3014
638	5327	3009
639	5338	3003
640	5351	2997
641	5365	2991
642	5377	2985
643	5387	2978
644	5399	2971
645	5410	2964
646	5423	2958
647	5434	2951
648	5443	2944
649	5453	2936
650	5462	2928
651	5471	2920
652	5481	2913
653	5492	2905
654	5501	2897
655	5511	2889
656	5520	2882
657	5530	2874
658	5539	2866
659	5547	2857
660	5556	2849
661	5565	2841
662	5574	2833
663	5583	2825
664	5593	2817
665	5602	2809
666	5610	2800
667	5619	2792
668	5627	2784
669	5636	2775
670	5644	2767
671	5654	2759
672	5662	2751
673	5672	2743
674	5681	2735
675	5692	2728
676	5701	2720
677	5710	2711
678	5719	2704
679	5728	2695
680	5737	2687
681	5746	2679
682	5755	2671
683	5763	2662
684	5771	2654
685	5779	2645
686	5789	2637
687	5796	2628
688	5805	2620
689	5813	2611
690	5820	2602
691	5827	2593
692	5835	2584
693	5841	2575
694	5849	2567
695	5856	2558
696	5864	2549
697	5871	2540
698	5879	2531
699	5887	2523
700	5894	2514
701	5901	2505
702	5909	2496
703	5917	2487
704	5924	2479
705	5931	2470
706	5938	2461
707	5946	2452
708	5953	2443
709	5959	2434
710	5967	2425
711	5973	2416
712	5980	2407
713	5986	2398
714	5992	2388
715	6000	2380
716	6006	2370
717	6013	2361
718	6019	2352
719	6025	2343
720	6031	2334
721	6037	2324
722	6047	2316
723	6056	2308
724	6063	2299
725	6071	2291
726	6078	2282
727	6086	2273
728	6094	2265
729	6101	2256
730	6108	2248
731	6116	2239
732	6124	2230
733	6132	2222
734	6140	2213
735	6150	2206
736	6158	2197
737	6167	2189
738	6175	2180
739	6183	2172
740	6191	2163
741	6200	2156
742	6209	2147
743	6217	2139
744	6225	2131
745	6233	2122
746	6242	2114
747	6249	2105
748	6258	2097
749	6266	2088
750	6275	2080
751	6282	2072
752	6291	2063
753	6299	2055
754	6307	2046
755	6315	2038
756	6323	2029
757	6330	2021
758	6339	2012
759	6346	2004
760	6354	1995
761	6361	1986
762	6368	1978
763	6377	1969
764	6384	1961
765	6394	1953
766	6401	1944
767	6411	1936
768	6419	1928
769	6428	1920
770	6436	1911
771	6444	1903
772	6451	1894
773	6459	1886
774	6466	1877
775	6474	1868
776	6481	1860
777	6490	1851
778	6497	1843
779	6505	1834
780	6514	1826
781	6522	1818
782	6529	1809
783	6537	1801
784	6546	1792
785	6554	1784
786	6562	1776
787	6570	1767
788	6579	1759
789	6587	1751
790	6594	1742
791	6601	1733
792	6609	1725
793	6617	1716
794	6626	1708
795	6632	1699
796	6641	1691
797	6648	1683
798	6656	1674
799	6664	1666
800	6672	1657
801	6679	1649
802	6687	1640
803	6694	1631
804	6702	1623
805	6709	1615
806	6717	1606
807	6725	1598
808	6732	1589
809	6739	1580
810	6748	1572
811	6754	1563
812	6763	1555
813	6769	1546
814	6778	1538
815	6785	1530
816	6793	1521
817	6802	1513
818	6811	1505
819	6819	1496
820	6826	1488
821	6836	1480
822	6843	1471
823	6853	1463
824	6860	1455
825	6868	1446
826	6874	1438
827	6882	1429
828	6887	1420
829	6894	1412
830	6902	1403
831	6910	1395
832	6917	1386
833	6925	1378
834	6932	1369
835	6938	1361
836	6945	1352
837	6951	1343
838	6959	1335
839	6965	1326
840	6971	1318
841	6978	1309
842	6984	1300
843	6990	1292
844	6996	1283
845	7003	1274
846	7009	1266
847	7015	1257
848	7022	1248
849	7028	1240
850	7036	1231
851	7043	1223
852	7050	1215
853	7058	1206
854	7067	1198
855	7074	1190
856	7082	1181
857	7090	1173
858	7098	1165
859	7106	1156
860	7115	1148
861	7124	1140
862	7132	1132
863	7142	1124
864	7150	1115
865	7160	1108
866	7172	1100
867	7180	1091
868	7191	1084
869	7198	1075
870	7208	1067
871	7216	1059
872	7226	1051
873	7235	1043
874	7244	1034
875	7253	1026
876	7260	1018
877	7268	1010
878	7275	1001
879	7282	993
880	7289	984
881	7298	976
882	7305	968
883	7314	959
884	7321	951
885	7330	943
886	7337	934
887	7344	926
888	7350	917
889	7358	909
890	7365	901
891	7373	892
892	7380	884
893	7388	876
894	7395	867
895	7402	859
896	7408	850
897	7414	842
898	7421	833
899	7427	825
900	7434	816
901	7440	808
902	7446	799
903	7452	791
904	7458	782
905	7465	774
906	7471	766
907	7478	757
908	7485	749
909	7492	741
910	7498	732
911	7504	724
912	7511	715
913	7518	707
914	7525	699
915	7531	690
916	7538	682
917	7544	673
918	7551	665
919	7558	657
920	7565	648
921	7571	640
922	7578	632
923	7586	624
924	7593	615
925	7601	607
926	7608	599
927	7617	590
928	7624	582
929	7632	574
930	7639	566
931	7646	557
932	7653	549
933	7661	541
934	7668	533
935	7675	524
936	7684	516
937	7693	508
938	7701	500
939	7709	492
940	7716	483
941	7726	475
942	7733	467
943	7740	459
944	7748	450
945	7755	442
946	7762	434
947	7769	426
948	7777	417
949	7786	409
950	7793	401
951	7800	393
952	7806	385
953	7814	376
954	7819	368
955	7827	360
956	7834	352
957	7841	343
958	7849	335
959	7855	327
960	7862	319
961	7868	310
962	7876	302
963	7882	294
964	7887	286
965	7896	277
966	7902	269
967	7910	261
968	7916	253
969	7923	245
970	7929	236
971	7935	228
972	7943	220
973	7950	212
974	7956	204
975	7963	195
976	7970	187
977	7977	179
978	7983	171
979	7991	163
980	7999	154
981	8006	146
982	8013	138
983	8021	130
984	8028	122
985	8034	114
986	8042	105
987	8048	97
988	8055	89
989	8061	81
990	8067	73
991	8075	65
992	8081	56
993	8089	48
994	8095	40
995	8103	32
996	8110	24
997	8118	16
998	8124	8
999	8134	0
